id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Symphony of Hope,Vienna Strings,classical,peaceful,0.25,68,0.52,0.22,0.98
12,Iron Fury,Thunderstrike,metal,aggressive,0.95,160,0.21,0.45,0.01
13,Island Breeze,Jah Roots,reggae,laidback,0.55,76,0.78,0.82,0.65
14,Concrete Jungle,MC Cipher,hip-hop,confident,0.78,92,0.65,0.85,0.15
15,Neon Neon,Glitch Wizard,edm,euphoric,0.88,128,0.72,0.78,0.04
16,Dusty Road,Cactus Jack,country,nostalgic,0.50,84,0.58,0.60,0.72
17,Midnight Train Blues,Blind River,blues,melancholic,0.42,70,0.35,0.52,0.81
18,Superfly Groove,The Funkytown Band,funk,groovy,0.74,108,0.86,0.89,0.12
19,Campfire Tales,Oak & Ivy,folk,reflective,0.38,88,0.62,0.56,0.88
20,Ritmo del Sol,Salsa Caliente,latin,passionate,0.85,104,0.89,0.84,0.32
